Date,High,Low,Open,Close,Volume,Adj Close
2019-05-31,178.6300048828125,176.49000549316406,177.47000122070312,178.07000732421875,1799600,173.9125213623047
2019-06-03,178.36000061035156,174.22999572753906,177.8699951171875,175.16000366210938,1774600,171.07046508789062
2019-06-04,178.02000427246094,175.77000427246094,177.27000427246094,177.97000122070312,2269700,173.81483459472656
2019-06-05,180.35000610351562,178.38999938964844,179.4199981689453,179.55999755859375,1492100,175.36770629882812
2019-06-06,180.97999572753906,179.3300018310547,180.0,180.39999389648438,1737700,176.1881103515625
2019-06-07,184.22999572753906,181.27000427246094,181.6300048828125,182.9199981689453,1965900,178.64926147460938
2019-06-10,185.27000427246094,183.72999572753906,184.3300018310547,184.44000244140625,1525000,180.13380432128906
2019-06-11,186.67999267578125,183.07000732421875,185.75999450683594,183.3699951171875,1423400,179.08876037597656
2019-06-12,185.07000732421875,183.22000122070312,183.6199951171875,184.58999633789062,1402100,180.2802734375
2019-06-13,186.10000610351562,184.24000549316406,185.8699951171875,184.9499969482422,1323700,180.6318817138672
